Category	Descript
other	Came to the area to visit a local Asian Festival & the Columbus Zoo.
other	Whatever you request they get it done.
other	I hope this helps u rate the game.
other	itworks great on skype to.
other	Castle Crashers was a very far fetched at first for me.
other	Okay, I seen people use Bitmoji and I was all like you know what I'm gonna give it a shot and yeah so it was really good and in fact maybe I can get my Bitmoji character to be friends with a unique character by EnhancedToon "Sunny the Yellow Creature" so yeah.
bug	Every time you try to watch a live stream, the stream is hijacked by a mandatory unskippable advert.
other	All the different colors and settings satisfy me greatly.
other	a) It's very creative (Sandbox game) as you can move and place back almost every little object in the huge world.
other	Close to restaurants, hop on and off bus and the Metro.
other	It's free, no ads, no hidden pay-to-play content, it even limits how much money you can put into it!
bug	really dislike it.
bug	Jesus!
bug	It's there and configured but won't pop up.
other	The location is second to none - my husband and I walked everywhere as the location was so central and in the centre of everything.
bug	Unfortunately the bed was so hard and uncomfortable we didn't have this problem last time we stayed so maybe just unlucky with the bed in this room we got but it made sleeping very difficult.
other	This program is very useful!
other	The location was perfect - within walking distance to all the shops and restaurants.
other	also this is not a destination for a solo traveler.
bug	also this is not a destination for a solo traveler.
other	Let's just say this game has hidden depths.
other	Staff is very friendly and supportive.
request	Did people's reviews get deleted or something when you updated the versions?
other	The rooms were all commodious and the staff was courteous and responsive.
other	and its so fun
other	Beautiful afternoon at the Bristol!
other	is great
other	Mzeye and has a distinct, very sweet
other	My husband and I choose this beautiful hotel for its location, price, and style.
other	Need to kwno which all programming languages i need to know to start working on Android SDK?
bug	This app is stopping unfortunately in every 5 minutes....
other	nice tool!
other	I would love to buy and download music on my pc I do not know much about
other	I just wanna stay here again because it was marvelous hotel.
other	This is an absolutely great casual game!
bug	We booked a King size room, at check-in we've been told King Size room are all occupied (a lie because later I realized that resort was not fully booked) and receptionist tried to bargain with us for a single beds room.
other	not for other games
other	I have a slight mobility problem and this was as comfortable and easy as it gets.
bug	I spent a whole day trying to get my 8Gig iTouch to give up all the images I had saved from the internet.
undetermined	The latest version does not allow this or there is no option.
bug	Very awful new look and inefficient app.
other	Not sure why this is happening.
bug	Waste of space
bug	There are few pictures need to be better and make sense to the words because there are deaf people who like to play this game and it is hard for them to sound the words.
request	There are few pictures need to be better and make sense to the words because there are deaf people who like to play this game and it is hard for them to sound the words.
bug	Edit: after using it for a couple of hours I've realized that it's also super slow, so that's a great update, isn't it?
bug	Notifications button only shows People I may know NOT actual notification.
bug	I suggest to move this programs from that part to main pool to give this possibility to all the guests to join them not just for persons .
other	When I select a live stream on the tv, it shows the channel selected.
bug	But That Old Version Will Not Play The New H.264 Format,
other	I can't say enough about this place!
request	but please, PLEASE allow there to be an option to toggle the online/offline statuses back on, or SOMETHING.
bug	but please, PLEASE allow there to be an option to toggle the online/offline statuses back on, or SOMETHING.
other	Nothing, it was perfect!
other	The rooms are spotlessly clean and tastefully decorated.
bug	Nothing seems to have been addressed on these matters that people have been complaining about since the app came out either.
bug	Expensive for what you get.
bug	This is a serious problem which the management needs to review and improve immediately.
